Date;Wallet;Pair;Type;Sell;Buy;Price;Inverse Price;Date Updated;Status
2022-01-18 14:57:35;Spot Wallet;CAKEUSDT;Market;100 USDT;9.26200356 CAKE;1 USDT = 0.09262004 CAKE;1 CAKE = 10.7968 USDT;2022-01-18 14:57:37;Successful
2022-01-21 06:13:52;Spot Wallet;CAKEUSDT;Market;100 USDT;9.85474112 CAKE;1 USDT = 0.09854741 CAKE;1 CAKE = 10.1474 USDT;2022-01-21 06:13:54;Successful
2022-01-21 06:15:19;Spot Wallet;GRTUSDT;Market;100 USDT;211.17317256 GRT;1 USDT = 2.1117317 GRT;1 GRT = 0.473545 USDT;2022-01-21 06:15:20;Successful
2022-01-21 06:17:12;Spot Wallet;SHIBUSDT;Market;50 USDT;1950078 SHIB;1 USDT = 39001.6 SHIB;1 SHIB = 0.00002564 USDT;2022-01-21 06:17:13;Successful
2022-01-21 13:05:42;Spot Wallet;CAKEUSDT;Market;100 USDT;10.23956486 CAKE;1 USDT = 0.10239565 CAKE;1 CAKE = 9.76604 USDT;2022-01-21 13:05:43;Successful
2022-01-22 10:48:04;Spot Wallet;CAKEUSDT;Market;103.48997063 USDT;14.02267023 CAKE;1 USDT = 0.13549787 CAKE;1 CAKE = 7.38019 USDT;2022-01-22 10:48:05;Successful
2022-01-22 13:31:26;Spot Wallet;FILUSDT;Market;20 USDT;1.01305832 FIL;1 USDT = 0.05065292 FIL;1 FIL = 19.7422 USDT;2022-01-22 13:31:27;Successful
2022-01-22 13:32:37;Spot Wallet;MIRUSDT;Market;25 USDT;18.93939394 MIR;1 USDT = 0.75757576 MIR;1 MIR = 1.32 USDT;2022-01-22 13:32:38;Successful
2022-01-22 13:33:37;Spot Wallet;COMPUSDT;Market;25 USDT;0.19799314 COMP;1 USDT = 0.00791973 COMP;1 COMP = 126.267 USDT;2022-01-22 13:33:38;Successful
2022-01-22 13:34:31;Spot Wallet;SLPUSDT;Market;25 USDT;2066.44018482 SLP;1 USDT = 82.65761 SLP;1 SLP = 0.0120981 USDT;2022-01-22 13:34:32;Successful
2022-02-07 17:51:56;Spot Wallet;SHIBUSDT;Market;1518833.54 SHIB;50 USDT;1 SHIB = 0.00003292 USDT;1 USDT = 30376.7 SHIB;2022-02-07 17:51:57;Successful
2022-02-09 10:42:03;Spot Wallet;SLPUSDT;Market;1033.11334906 SLP;25 USDT;1 SLP = 0.0241987 USDT;1 USDT = 41.32453 SLP;2022-02-09 10:42:04;Successful
2022-02-21 20:59:11;Spot Wallet;GRTUSDT;Market;20 USDT;52.28348103 GRT;1 USDT = 2.6141741 GRT;1 GRT = 0.38253 USDT;2022-02-21 20:59:12;Successful
2022-02-21 21:00:24;Spot Wallet;JASMYUSDT;Market;21.0106 USDT;1000 JASMY;1 USDT = 47.59502 JASMY;1 JASMY = 0.0210106 USDT;2022-02-21 21:00:25;Successful
2022-02-21 21:01:28;Spot Wallet;1INCHUSDT;Market;20.28656 USDT;14 1INCH;1 USDT = 0.69011207 1INCH;1 1INCH = 1.44904 USDT;2022-02-21 21:01:29;Successful
2022-02-21 21:15:16;Spot Wallet;MIRUSDT;Market;20 USDT;16.9687097 MIR;1 USDT = 0.84843548 MIR;1 MIR = 1.17864 USDT;2022-02-21 21:15:17;Successful
2022-02-21 21:18:16;Spot Wallet;MOVRUSDT;Market;21.84802982 USDT;0.2980347 MOVR;1 USDT = 0.01364126 MOVR;1 MOVR = 73.307 USDT;2022-02-21 21:18:17;Successful
2022-02-22 07:23:54;Spot Wallet;ADAUSDT;Market;20 USDT;23.96058962 ADA;1 USDT = 1.1980295 ADA;1 ADA = 0.834704 USDT;2022-02-22 07:23:55;Successful
2022-02-22 07:25:04;Spot Wallet;FLOWUSDT;Market;20 USDT;3.84531823 FLOW;1 USDT = 0.19226591 FLOW;1 FLOW = 5.20113 USDT;2022-02-22 07:25:05;Successful
2022-02-22 07:26:08;Spot Wallet;DENTUSDT;Market;20 USDT;8846.85649072 DENT;1 USDT = 442.343 DENT;1 DENT = 0.00226069 USDT;2022-02-22 07:26:09;Successful
2022-02-22 07:28:22;Spot Wallet;XRPUSDT;Market;20.46564 USDT;30 XRP;1 USDT = 1.4658716 XRP;1 XRP = 0.682188 USDT;2022-02-22 07:28:23;Successful
2022-02-22 07:52:55;Spot Wallet;QIUSDT;Market;25.9127 USDT;500 QI;1 USDT = 19.29556 QI;1 QI = 0.0518254 USDT;2022-02-22 07:52:56;Successful
