Timestamp (UTC);Transaction Description;Currency;Amount;To Currency;To Amount;Native Currency;Native Amount;Native Amount (in USD);Transaction Kind
2022-01-25 14:56:50;Supercharger Reward;ETH;0,0000006;;;USD;0,0;0,0;supercharger_reward_to_app_credited
2022-01-25 14:56:50;Supercharger Reward;ETH;0,0000006;;;USD;0,0;0,0;supercharger_reward_to_app_credited
2022-01-24 17:47:51;Card Cashback;CRO;0,27861593;;;USD;0,1;0,1;referral_card_cashback
2022-01-24 16:11:51;Card Cashback;CRO;1,06807854;;;USD;0,37;0,37;referral_card_cashback
2022-01-23 17:59:16;Supercharger Reward;ETH;0,0000006;;;USD;0,0;0,0;supercharger_reward_to_app_credited
2022-01-22 12:56:57;Supercharger Reward;ETH;0,0000006;;;USD;0,0;0,0;supercharger_reward_to_app_credited
2022-01-21 11:52:07;Supercharger Reward;ETH;0,0000006;;;USD;0,0;0,0;supercharger_reward_to_app_credited
2022-01-20 13:06:22;Supercharger Reward;ETH;0,0000006;;;USD;0,0;0,0;supercharger_reward_to_app_credited
2022-01-20 13:06:21;Supercharger Reward;ETH;0,0000006;;;USD;0,0;0,0;supercharger_reward_to_app_credited
2022-01-19 17:36:15;Card Cashback;CRO;1,05035633;;;EUR;0,41;0,4649119642;referral_card_cashback
2022-01-18 17:27:24;Supercharger Reward;ETH;0,0000006;;;EUR;0,0;0;supercharger_reward_to_app_credited
2022-01-18 17:27:24;Supercharger Reward;ETH;0,0000006;;;EUR;0,0;0;supercharger_reward_to_app_credited
2022-01-16 14:33:56;Supercharger Reward;ETH;0,0000006;;;EUR;0,0;0;supercharger_reward_to_app_credited
2022-01-15 12:43:22;Supercharger Reward;ETH;0,0000006;;;EUR;0,0;0;supercharger_reward_to_app_credited
2022-01-15 09:00:03;Mission Rewards Deposit;CRO;2,7;;;EUR;1,08;1,2246461496;rewards_platform_deposit_credited
2022-01-14 07:08:18;Supercharger Reward;ETH;0,0000006;;;EUR;0,0;0;supercharger_reward_to_app_credited
2022-01-13 17:50:31;Withdraw CAKE (BSC);CAKE;-5,0;;;EUR;-46,53;-52,7618382786;crypto_withdrawal
2022-01-13 17:47:51;USDC -> THETA;USDC;-24,252648;THETA;6,0;EUR;21,1;23,925957182;crypto_exchange
2022-01-13 17:43:51;USDC -> CAKE;USDC;-54,537261;CAKE;5,0;EUR;47,44;53,7937160528;crypto_exchange
2022-01-13 15:14:10;LTC (LTC) Deposit;LTC;0,47095754;;;EUR;56,18;63,7042784116;crypto_deposit
