Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind
2021-12-28 12:29:35,FTM -> USDC,FTM,-10.0,USDC,22.761546,EUR,20.02,22.754723992,crypto_exchange
2021-12-28 00:21:14,AVAX -> USDC,AVAX,-0.254,USDC,28.080661,EUR,24.71,28.085376116,crypto_exchange
2021-12-28 00:16:06,BAT -> USDC,BAT,-4.0,USDC,5.376102,EUR,4.73,5.376116108,crypto_exchange
2021-12-28 00:14:46,BAT -> USDC,BAT,-45.0,USDC,60.565386,EUR,53.29,60.569392684,crypto_exchange
2021-12-28 00:10:51,SAND -> USDC,SAND,-10.0,USDC,61.978872,EUR,54.43,61.865116228,crypto_exchange
2021-12-28 00:03:47,ATOM -> USDC,ATOM,-4.51,USDC,130.759859,EUR,115.08,130.799881968,crypto_exchange
2021-12-24 08:15:55,USDC -> QTUM,USDC,-20.551045,QTUM,2.0,EUR,18.04,20.504256784,crypto_exchange
2021-12-23 13:32:52,USDC -> PSG,USDC,-20.291973,PSG,1.2,EUR,17.88,20.322400848,crypto_exchange
2021-12-22 22:14:35,USDC -> FIL,USDC,-20.054516,FIL,0.55,EUR,17.65,20.06098294,crypto_exchange
2021-12-22 16:55:34,Card Cashback,CRO,4.35670032,,,EUR,2.09,2.375493164,referral_card_cashback
2021-12-22 15:45:52,Card Cashback,CRO,0.14913813,,,EUR,0.07,0.079561972,referral_card_cashback
2021-12-22 15:38:52,Card Cashback,CRO,4.54615642,,,EUR,2.16,2.455055136,referral_card_cashback
2021-12-21 20:29:35,USDC -> SLP,USDC,-20.52841,SLP,650.0,EUR,18.14,20.617916744,crypto_exchange
2021-12-20 20:54:30,Mission Rewards Deposit,CRO,0.7,,,EUR,0.3,0.34097988,rewards_platform_deposit_credited
2021-12-20 20:50:57,USDC -> THETA,USDC,-20.442622,THETA,5.0,EUR,18.07,20.538354772,crypto_exchange
2021-12-19 21:24:19,USDC -> MIR,USDC,-20.936484,MIR,8.0,EUR,18.57,21.106654572,crypto_exchange
2021-12-19 10:21:47,Card Cashback,CRO,1.42332928,,,EUR,0.67,0.761521732,referral_card_cashback
2021-12-18 14:39:47,Card Cashback,CRO,1.7025738,,,EUR,0.81,0.920645676,referral_card_cashback
2021-12-18 14:27:33,Card Cashback,CRO,1.49654294,,,EUR,0.71,0.806985716,referral_card_cashback
2021-12-17 07:52:43,Card Cashback,CRO,0.31937303,,,EUR,0.15,0.17048994,referral_card_cashback
2021-12-16 13:07:59,Card Cashback,CRO,0.42433178,,,EUR,0.21,0.238685916,referral_card_cashback
2021-12-16 12:42:11,Card Cashback,CRO,0.15804154,,,EUR,0.08,0.090927968,referral_card_cashback
2021-12-14 22:02:12,Mission Rewards Deposit,CRO,2.0,,,EUR,0.96,1.091135616,rewards_platform_deposit_credited
2021-12-14 22:00:20,Buy USDC,USDC,500.0,,,EUR,445.47,506.321023812,crypto_purchase
